binned_lat,binned_lon,type,subtype,count
41.96,-87.75,ROAD_CLOSED,ROAD_CLOSED_EVENT,14837
41.88,-87.65,ROAD_CLOSED,ROAD_CLOSED_EVENT,9898
41.83,-87.64,ROAD_CLOSED,ROAD_CLOSED_EVENT,5060
41.89,-87.66,JAM,JAM_HEAVY_TRAFFIC,4991
41.69,-87.6,ROAD_CLOSED,ROAD_CLOSED_EVENT,4961
41.71,-87.64,ROAD_CLOSED,ROAD_CLOSED_EVENT,4949
41.89,-87.66,JAM,JAM_STAND_STILL_TRAFFIC,4673
41.87,-87.65,JAM,JAM_HEAVY_TRAFFIC,4121
41.87,-87.65,JAM,JAM_STAND_STILL_TRAFFIC,3987
41.9,-87.67,JAM,JAM_HEAVY_TRAFFIC,3845
41.88,-87.65,JAM,JAM_STAND_STILL_TRAFFIC,3720
41.83,-87.64,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,3607
41.89,-87.66,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,3565
41.87,-87.65,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,3496
41.96,-87.75,JAM,JAM_HEAVY_TRAFFIC,3360
41.88,-87.65,JAM,JAM_HEAVY_TRAFFIC,3267
41.94,-87.72,JAM,JAM_HEAVY_TRAFFIC,3177
41.96,-87.76,JAM,JAM_HEAVY_TRAFFIC,3013
41.65,-87.59,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2992
41.8,-87.64,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2934
41.84,-87.64,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2922
41.97,-87.77,JAM,JAM_HEAVY_TRAFFIC,2900
41.96,-87.76,JAM,JAM_STAND_STILL_TRAFFIC,2855
41.96,-87.75,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2849
41.82,-87.64,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2795
41.78,-87.64,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2786
41.93,-87.71,JAM,JAM_HEAVY_TRAFFIC,2732
41.86,-87.65,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2635
41.91,-87.67,JAM,JAM_HEAVY_TRAFFIC,2612
41.9,-87.67,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2603
41.96,-87.75,JAM,JAM_STAND_STILL_TRAFFIC,2574
41.82,-87.73,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2568
41.92,-87.69,JAM,JAM_HEAVY_TRAFFIC,2548
41.95,-87.74,JAM,JAM_HEAVY_TRAFFIC,2446
41.97,-87.78,JAM,JAM_HEAVY_TRAFFIC,2425
41.96,-87.76,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2406
41.79,-87.64,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2397
41.98,-87.79,JAM,JAM_HEAVY_TRAFFIC,2357
41.82,-87.72,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2320
41.73,-87.63,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2297
41.87,-87.73,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2274
41.97,-87.77,JAM,JAM_STAND_STILL_TRAFFIC,2262
41.9,-87.67,JAM,JAM_STAND_STILL_TRAFFIC,2236
41.85,-87.65,JAM,JAM_HEAVY_TRAFFIC,2222
41.72,-87.63,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2181
41.94,-87.72,JAM,JAM_STAND_STILL_TRAFFIC,2178
41.95,-87.74,JAM,JAM_STAND_STILL_TRAFFIC,2178
41.89,-87.65,JAM,JAM_STAND_STILL_TRAFFIC,2167
41.81,-87.64,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2158
41.71,-87.61,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2103
41.66,-87.6,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2091
41.69,-87.6,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2088
41.87,-87.68,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2080
41.93,-87.7,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2063
41.75,-87.63,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2014
41.87,-87.67,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2013
41.93,-87.7,JAM,JAM_HEAVY_TRAFFIC,2007
41.93,-87.71,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1979
41.87,-87.75,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1958
41.84,-87.66,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1955
41.97,-87.78,JAM,JAM_STAND_STILL_TRAFFIC,1918
41.97,-87.75,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1911
41.87,-87.76,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1904
41.87,-87.69,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1902
41.71,-87.63,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1893
41.87,-87.72,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1893
41.91,-87.67,JAM,JAM_STAND_STILL_TRAFFIC,1866
41.84,-87.64,JAM,JAM_HEAVY_TRAFFIC,1865
41.87,-87.74,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,1857
