,city,confidence,nThumbsUp,street,uuid,country,type,subtype,roadType,reliability,magvar,reportRating,ts,geo,geoWKT
584358,"Chicago, IL",0,,,c9b88a12-79e8-44cb-aadd-a75855fc4bcb,US,JAM,,17,5,116,5,2024-07-02 18:27:40 UTC,POINT(-87.64577 41.892743),Point(-87.64577 41.892743)
472915,"Chicago, IL",0,,I-90 E,7c634c0a-099c-4262-b57f-e893bdebce73,US,ROAD_CLOSED,ROAD_CLOSED_EVENT,3,6,173,0,2024-06-16 10:13:19 UTC,POINT(-87.646359 41.886295),Point(-87.646359 41.886295)
550891,"Chicago, IL",0,,I-90 W,7aa3c61a-f8dc-4fe8-bbb0-db6b9e0dc53b,US,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,3,5,308,5,2024-05-02 19:01:47 UTC,POINT(-87.695982 41.93272),Point(-87.695982 41.93272)
770659,"Chicago, IL",0,,,3b95dd2f-647c-46de-b4e1-8ebc73aa9221,US,HAZARD,HAZARD_ON_ROAD,20,5,155,2,2024-03-25 18:53:24 UTC,POINT(-87.669253 41.904497),Point(-87.669253 41.904497)
381054,"Chicago, IL",0,,N Pulaski Rd,13a5e230-a28a-4bf4-b928-bc1dd38850e0,US,JAM,JAM_HEAVY_TRAFFIC,7,5,178,2,2024-06-03 21:17:33 UTC,POINT(-87.728322 41.978769),Point(-87.728322 41.978769)
446498,"Chicago, IL",4,,W Randolph St,8c4d9860-bfe1-483c-a4ea-9534d34e1b20,US,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,2,10,269,2,2024-06-21 17:11:52 UTC,POINT(-87.64511 41.88442),Point(-87.64511 41.88442)
638516,"Chicago, IL",0,,I-90 W,9d8b4725-108f-42e3-9e36-84787339fc53,US,JAM,JAM_HEAVY_TRAFFIC,3,5,294,3,2024-02-24 21:31:40 UTC,POINT(-87.746066 41.963046),Point(-87.746066 41.963046)
103928,"Chicago, IL",0,,I-94 Express E,8dc9e7bd-6716-435d-a2a6-7c7a2ec2aac4,US,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,3,5,167,4,2024-03-09 04:35:41 UTC,POINT(-87.626285 41.773033),Point(-87.626285 41.773033)
616674,"Chicago, IL",0,,DuSable Lake Shore Dr,8f38a266-9dd8-47bf-b4ad-8d3f5c02676a,US,JAM,JAM_HEAVY_TRAFFIC,6,5,170,3,2024-03-20 12:33:13 UTC,POINT(-87.647223 41.965222),Point(-87.647223 41.965222)
719312,"Chicago, IL",5,,I-55 S,6ea1f81d-473c-49bc-a4a9-d2bce7510267,US,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,3,10,247,5,2024-08-05 09:11:02 UTC,POINT(-87.734939 41.819858),Point(-87.734939 41.819858)
